time,node0,node1
5548,0.052,0.052503
5549,0.051318,0.052479
5550,0.05109,0.052555
5551,0.051398,0.054374
5552,0.052798,0.052201
5553,0.051075,0.052471
5554,0.052029,0.051707
5555,0.050737,0.052328
5556,0.051435,0.052184
5557,0.051737,0.052383
5558,0.051127,0.052047
5559,0.05122,0.051321
5560,0.051,0.051652
5561,0.050803,0.05164
5562,0.050904,0.051944
5563,0.051069,0.052169
5564,0.051197,0.052695
5565,0.051628,0.051554
5566,0.051455,0.051621
5567,0.051796,0.052315
5568,0.051686,0.052003
5569,0.051545,0.052368
5570,0.05131,0.052573
5571,0.050953,0.052256
5572,0.052302,0.052332
5573,0.051656,0.052746
5574,0.051651,0.052565
5575,0.051554,0.052298
5576,0.051783,0.052301
5577,0.051417,0.052595
5578,0.051338,0.053243
5579,0.050632,0.053398
5580,0.05147,0.05283
5581,0.053432,0.052806
5582,0.051608,0.052224
5583,0.051371,0.05228
5584,0.051523,0.052594
5585,0.052547,0.052049
5586,0.050774,0.052196
5587,0.055103,0.054617
5588,0.051666,0.052602
5589,0.051652,0.051779
5590,0.051104,0.051973
5591,0.05105,0.052901
5592,0.050191,0.052435
5593,0.049872,0.052452
5594,0.050444,0.052696
5595,0.051543,0.052536
5596,0.050053,0.052431
5597,0.050141,0.052753
5598,0.049837,0.052925
5599,0.050215,0.052946
5600,0.049944,0.052623
5601,0.051019,0.052662
5602,0.050698,0.052877
5603,0.051009,0.053256
5604,0.049914,0.052924
5605,0.050737,0.052234
5606,0.053078,0.053699
5607,0.050581,0.053275
5608,0.050997,0.053585
5609,0.050495,0.053635
5610,0.050393,0.05404
5611,0.050146,0.054022
5612,0.050206,0.05408
5613,0.05087,0.053915
5614,0.050735,0.054202
5615,0.050416,0.05446
5616,0.050095,0.054163
5617,0.05033,0.053948
5618,0.050459,0.054019
5619,0.050746,0.05408
5620,0.051319,0.054323
5621,0.050509,0.053879
5622,0.05049,0.053324
5623,0.050488,0.053524
5624,0.050907,0.05424
5625,0.050775,0.053661
5626,0.050584,0.053979
5627,0.050476,0.054039
5628,0.051153,0.053696
5629,0.050779,0.054138
5630,0.051048,0.05369
5631,0.050983,0.053695
5632,0.051024,0.054025
5633,0.050449,0.053122
5634,0.051081,0.053206
5635,0.050567,0.052755
5636,0.05102,0.053202
5637,0.050951,0.052965
5638,0.050643,0.05228
5639,0.050642,0.052733
5640,0.050556,0.052718
5641,0.050851,0.0568
5642,0.050108,0.053249
5643,0.050681,0.05313
5644,0.050082,0.052804
5645,0.050658,0.052849
5646,0.050621,0.052818
5647,0.050556,0.052849
5648,0.050646,0.053621
5649,0.050965,0.053448
5650,0.050245,0.053091
5651,0.050499,0.053742
5652,0.05018,0.052802
5653,0.050907,0.053149
5654,0.050613,0.05394
5655,0.050651,0.053036
